Age (ka),d18O (permil)
0,3.158369
1,3.158207034
2,3.15128849
3,3.144738028
4,3.142786342
5,3.150330863
6,3.173091926
7,3.21435208
8,3.259764931
9,3.324990139
10,3.418239334
11,3.529091239
12,3.648314728
13,3.771847562
14,3.888135605
15,3.987879291
16,4.119285059
17,4.28232545
18,4.45171448
19,4.601252654
20,4.715938285
21,4.790913899
22,4.794688526
23,4.786233255
24,4.773356538
25,4.749973756
26,4.713523842
27,4.670677957
28,4.630424733
29,4.624865175
30,4.619801658
31,4.606074937
32,4.589562874
33,4.566151161
34,4.529299487
35,4.493087256
36,4.471650349
37,4.454936993
38,4.430427395
39,4.40212667
40,4.374996219
41,4.341453566
42,4.29990608
43,4.265301363
44,4.255209152
45,4.296354767
46,4.352080535
47,4.375032865
48,4.371191765
49,4.350337638
50,4.317403669
51,4.272007925
52,4.22330572
53,4.22912195
54,4.289061397
55,4.319103793
56,4.311060243
57,4.269028659
58,4.212624155
59,4.173798121
60,4.181504871
61,4.223230093
62,4.204720043
63,4.149781761
64,4.151511814
65,4.213109217
66,4.272032893
67,4.328658026
68,4.376570539
69,4.405273322
70,4.419781693
71,4.432611825
72,4.439819421
73,4.42390088
74,4.376746933
75,4.311645735
76,4.239939426
77,4.157958877
78,4.090309353
79,4.044023912
80,3.986604313
81,3.946734458
82,3.938914906
83,3.8976784
84,3.839199177
85,3.762262712
86,3.689012687
87,3.642992772
88,3.647469299
89,3.724512591
90,3.841081491
91,3.94903162
92,4.015228454
93,4.027264959
94,3.912356754
95,3.861375228
96,3.830430423
97,3.803065286
98,3.778971664
99,3.753172711
100,3.72113137
101,3.689938069
102,3.669805867
103,3.658618422
104,3.657593511
105,3.668535088
106,3.688093841
107,3.710192821
108,3.733386878
109,3.755101113
110,3.768609762
111,3.774422664
112,3.787934865
113,3.804259529
114,3.957869282
115,3.923843031
116,3.858879365
117,3.771738948
118,3.658389664
119,3.534912614
120,3.435197436
121,3.340753159
122,3.232817526
123,3.13587978
124,3.076005283
125,3.041073129
126,3.020588984
127,3.033859003
128,3.126623714
129,3.282962179
130,3.468352899
131,3.676718501
132,3.889783605
133,4.010216755
134,4.061162476
135,4.214349139
136,4.402798723
137,4.541489677
138,4.658032487
139,4.723475504
140,4.746452715
141,4.762543737
142,4.754987358
143,4.721159132
144,4.6800903
145,4.6404157
146,4.611718541
147,4.589221354
148,4.563020789
149,4.532816584
150,4.508395591
151,4.493391836
152,4.48602241
153,4.487246876
154,4.497417167
155,4.512408265
156,4.53043987
157,4.549101885
158,4.575290452
159,4.60165637
160,4.598453223
161,4.574000652
162,4.538628616
163,4.499336503
164,4.462038703
165,4.431947862
166,4.412833231
167,4.390894079
168,4.367604315
169,4.354327047
170,4.350494262
171,4.317953127
172,4.25707444
173,4.210564514
174,4.193086033
175,4.202868636
176,4.253983866
177,4.29730055
178,4.312718129
179,4.321781786
180,4.319430743
181,4.296647231
182,4.282459345
183,4.314453047
184,4.365998569
185,4.359231309
186,4.30879368
187,4.233512796
188,4.137798746
189,4.019325898
190,3.902157826
191,3.81554675
192,3.773262128
193,3.748396099
194,3.668143502
195,3.566095383
196,3.478720295
197,3.429587443
198,3.438033709
199,3.511011693
200,3.590245341
201,3.625708207
202,3.628642572
203,3.606355629
204,3.576950765
205,3.532841385
206,3.470671549
207,3.420460054
208,3.392367169
209,3.379611729
210,3.399987267
211,3.469770152
212,3.582201146
213,3.724924911
214,3.887814107
215,4.041369683
216,4.148490295
217,4.212368022
218,4.257051018
219,4.27539228
220,4.254268642
221,4.202193668
222,4.147266909
223,4.109772554
224,4.078084782
225,4.037883676
226,3.98765915
227,3.909650159
228,3.80444312
229,3.675642467
230,3.548018949
231,3.448939765
232,3.37914369
233,3.348063954
234,3.370575411
235,3.466094132
236,3.614378144
237,3.780436015
238,3.94683143
239,4.093632755
240,4.199500277
241,4.268976307
242,4.33448324
243,4.398781841
244,4.446614749
245,4.468754772
246,4.474601942
247,4.458113901
248,4.4184927
249,4.379947199
250,4.360746313
251,4.349048634
252,4.328278926
253,4.309681484
254,4.310254357
255,4.32102481
256,4.330086184
257,4.347552754
258,4.369298343
259,4.376836332
260,4.375618877
261,4.390874034
262,4.425959482
263,4.454629802
264,4.450728169
265,4.415369632
266,4.375470978
267,4.337261695
268,4.291084546
269,4.256396225
270,4.241370462
271,4.218076539
272,4.162294062
273,4.168171466
274,4.136019314
275,4.087117021
276,4.041105135
277,4.01089208
278,4.003430803
279,4.007519758
280,4.02595868
281,4.081060814
282,4.151500562
283,4.202616579
284,4.23519711
285,4.244663809
286,4.234404894
287,4.213182828
288,4.177978011
289,4.128959997
290,4.071366714
291,4.02189176
292,3.990705887
293,3.957715561
294,3.915778704
295,3.884856799
296,3.862806947
297,3.82846548
298,3.773918123
299,3.711197098
300,3.658774687
301,3.624507183
302,3.60524305
303,3.589375492
304,3.575202445
305,3.562603437
306,3.551812521
307,3.542626746
308,3.534736339
309,3.528426564
310,3.52159652
311,3.512947249
312,3.501712146
313,3.486126261
314,3.454679644
315,3.409200074
316,3.356933198
317,3.301650808
318,3.246188397
319,3.19390259
320,3.158047949
321,3.129802698
322,3.107907446
323,3.091266362
324,3.081732109
325,3.078951976
326,3.084217018
327,3.102272923
328,3.135660254
329,3.194578372
330,3.288339173
331,3.397785526
332,3.520268083
333,3.640944735
334,3.756620006
335,3.867231724
336,3.969940345
337,4.070469653
338,4.202933539
339,4.413969091
340,4.595244823
341,4.681710617
342,4.655484456
343,4.583575172
344,4.523769297
345,4.481264642
346,4.415778153
347,4.348861387
348,4.327269601
349,4.345922103
350,4.362799392
351,4.374230667
352,4.374546513
353,4.367817201
354,4.349896702
355,4.312679495
356,4.286039301
357,4.258088779
358,4.224695068
359,4.185292153
360,4.144464399
361,4.113477343
362,4.100613319
363,4.104659097
364,4.108519
365,4.101449563
366,4.090746596
367,4.07900729
368,4.065268798
369,4.045703635
370,4.017996695
371,3.985750392
372,3.951751581
373,3.922137953
374,3.905702416
375,3.905951841
376,3.896724967
377,3.868458909
378,3.837474378
379,3.813857631
380,3.783121056
381,3.751132248
382,3.75208658
383,3.772017177
384,3.768090676
385,3.739192157
386,3.689605086
387,3.622933452
388,3.561674887
389,3.509977275
390,3.464486234
391,3.419978547
392,3.371372531
393,3.321098749
394,3.272314519
395,3.215996366
396,3.156863379
397,3.104582056
398,3.072596687
399,3.060238336
400,3.052243047
401,3.053523368
402,3.067866395
403,3.09526931
404,3.11278922
405,3.121767977
406,3.13472851
407,3.155256471
408,3.184709027
409,3.230931666
410,3.283500987
411,3.336726817
412,3.387118565
413,3.433803697
414,3.479388839
415,3.5308083
416,3.576683922
417,3.61327609
418,3.646986652
419,3.687322947
420,3.740301501
421,3.808781323
422,3.892692474
423,3.987425992
424,4.087910488
425,4.198888687
426,4.328256194
427,4.464195179
428,4.593589687
429,4.70818524
430,4.799507335
431,4.860440247
432,4.892156991
433,4.90095471
434,4.888777828
435,4.87292179
436,4.861879706
437,4.834659228
438,4.808050252
439,4.780711159
440,4.752060926
441,4.723266041
442,4.695863865
443,4.666686041
444,4.630231302
445,4.592361866
446,4.553387264
447,4.512255112
448,4.478857487
449,4.461611939
450,4.451237884
451,4.439421101
452,4.426812685
453,4.417442457
454,4.416660122
455,4.422220393
456,4.422997514
457,4.412616272
458,4.397185861
459,4.381810294
460,4.369018612
461,4.361441355
462,4.356328885
463,4.349680015
464,4.337571315
465,4.319504119
466,4.297690161
467,4.273625192
468,4.247061087
469,4.216558216
470,4.18061409
471,4.139711349
472,4.096535619
473,4.056162734
474,4.026397668
475,4.00457407
476,3.996671982
477,4.003723594
478,4.013161584
479,4.014265734
480,3.987787951
481,3.931545703
482,3.869286802
483,3.81451086
484,3.779939948
485,3.761666503
486,3.738748526
487,3.70137984
488,3.663424085
489,3.626172751
490,3.590621749
491,3.562379113
492,3.533306471
493,3.505047662
494,3.499403508
495,3.519870876
496,3.552694714
497,3.583947399
498,3.605340521
499,3.611862852
500,3.615667283
501,3.618919393
502,3.622810625
503,3.632492257
504,3.645516594
505,3.660295099
506,3.688171645
507,3.723954688
508,3.757413411
509,3.792769616
510,3.83025856
511,3.87412224
512,3.923784697
513,3.969886253
514,4.007050975
515,4.01682008
516,4.003139882
517,3.991576089
518,3.981884374
519,3.964818518
520,3.945783309
521,3.921041262
522,3.887805358
523,3.844228193
524,3.803905669
525,3.785956837
526,3.763553947
527,3.738899508
528,3.738241769
529,3.756692547
530,3.788281758
531,3.832375809
532,3.857090519
533,3.865696052
534,3.875702774
535,3.897019153
536,3.925764046
537,3.982810221
538,4.083694362
539,4.200015432
540,4.288828522
541,4.340590648
542,4.372636287
543,4.38771377
544,4.392993967
545,4.387615679
546,4.37717903
547,4.369439939
548,4.363307763
549,4.360681769
550,4.364639933
551,4.361172161
552,4.34255512
553,4.317978756
554,4.288448322
555,4.250836144
556,4.204106379
557,4.154446136
558,4.114957014
559,4.082011122
560,4.042165217
561,3.990266962
562,3.929112988
563,3.879689167
564,3.843399097
565,3.804376904
566,3.773561668
567,3.763284629
568,3.756243177
569,3.74389773
570,3.716960336
571,3.65986656
572,3.571757492
573,3.475919736
574,3.394069715
575,3.335098967
576,3.307164293
577,3.306459459
578,3.332665729
579,3.393016239
580,3.498205335
581,3.645583726
582,3.806107619
583,3.940782199
584,4.025750771
585,4.070007165
586,4.091056757
587,4.085373774
588,4.058419324
589,4.015054652
590,3.964760827
591,3.915193567
592,3.869675222
593,3.8361739
594,3.818315788
595,3.806232682
596,3.804707821
597,3.822364276
598,3.844876928
599,3.857419287
600,3.857896847
601,3.847091849
602,3.812990056
603,3.758624083
604,3.701715008
605,3.656780357
606,3.619310394
607,3.575683089
608,3.517758373
609,3.454528671
610,3.401359939
611,3.371193217
612,3.370874768
613,3.394913473
614,3.431070901
615,3.484321296
616,3.56177216
617,3.646281448
618,3.725577718
619,3.801528621
620,3.881405792
621,3.971251702
622,4.075966898
623,4.201957393
624,4.342662001
625,4.481221015
626,4.604568273
627,4.711940379
628,4.801394717
629,4.860592773
630,4.880731749
631,4.861747829
632,4.828241696
633,4.789983653
634,4.764130168
635,4.755137566
636,4.743769993
637,4.72599489
638,4.709518416
639,4.690077752
640,4.670502783
641,4.65170728
642,4.632845553
643,4.612296015
644,4.582196072
645,4.54638098
646,4.51675834
647,4.499105819
648,4.490696738
649,4.489411749
650,4.492863901
651,4.495688757
652,4.493973664
653,4.485398762
654,4.46325158
655,4.429158943
656,4.399524135
657,4.385875175
658,4.383939265
659,4.382470462
660,4.376817461
661,4.364126864
662,4.344733369
663,4.331497423
664,4.325595069
665,4.32144847
666,4.314294848
667,4.30559033
668,4.2979991
669,4.284605941
670,4.264292772
671,4.239564403
672,4.21162771
673,4.180100187
674,4.14612347
675,4.113029309
676,4.081799092
677,4.049646532
678,4.01572003
679,3.778856495
680,3.756176652
681,3.753635011
682,3.748649897
683,3.741009554
684,3.729239015
685,3.710695446
686,3.68417394
687,3.651061377
688,3.615131243
689,3.581645678
690,3.555271622
691,3.535257418
692,3.522567394
693,3.515758335
694,3.515554958
695,3.522799638
696,3.538055145
697,3.561199396
698,3.586691947
699,3.605937791
700,3.61273148
701,3.608504411
702,3.604233027
703,3.60953526
704,3.622558108
705,3.643955071
706,3.665546331
707,3.683497462
708,3.699624197
709,3.719929661
710,3.745311093
711,3.772760285
712,3.803373537
713,3.835656403
714,3.872105824
715,3.92050281
716,3.982793765
717,4.047097007
718,4.095174678
719,4.126170886
720,4.138792727
721,4.143798499
722,4.408296341
723,4.351332034
724,4.291818081
725,4.230955968
726,4.165150909
727,4.101892054
728,4.046590362
729,3.995882387
730,3.952430976
731,3.932693522
732,3.929559443
733,3.934762957
734,3.945493192
735,3.971723295
736,4.003944038
737,4.036863616
738,4.069117229
739,4.080023517
740,4.078989477
741,4.09199356
742,4.138568985
743,4.22634089
744,4.333792591
745,4.410969254
746,4.429781149
747,4.404580055
748,4.363966716
749,4.334095463
750,4.313656015
751,4.297049032
752,4.282953513
753,4.247835877
754,4.194613004
755,4.135022254
756,4.080666557
757,4.034190428
758,3.989569349
759,3.943145548
760,3.909026418
761,3.890682776
762,3.882489766
763,3.875162459
764,3.872078385
765,3.880507528
766,3.871420187
767,3.82425687
768,3.755373689
769,3.687609979
770,3.633204744
771,3.586238464
772,3.543747513
773,3.499334724
774,3.454553683
775,3.433663881
776,3.428277723
777,3.413718696
778,3.397204196
779,3.381786925
780,3.375575939
781,3.383813136
782,3.400229469
783,3.435989748
784,3.501524157
785,3.593218623
786,3.704494456
787,3.820152439
788,3.926885904
789,4.03370013
790,4.160512123
791,4.300660279
792,4.414297331
793,4.474100592
794,4.496624397
795,4.499260753
796,4.486226867
797,4.455779427
798,4.414578749
799,4.383572631
800,4.363938002
801,4.347220448
802,4.320782447
803,4.286414367
804,4.249539911
805,4.20522836
806,4.160185706
807,4.125982349
808,4.087021376
809,4.033222469
810,3.97727505
811,3.930773086
812,3.883814
813,3.82610822
814,3.763707725
815,3.718199814
816,3.682926285
817,3.651739052
818,3.625035218
819,3.618389012
820,3.647472686
821,3.699385082
822,3.77258936
823,3.845577291
824,3.877242798
825,3.865471857
826,3.835837327
827,3.807251589
828,3.784526296
829,3.763485515
830,3.736941453
831,3.714990372
832,3.702390824
833,3.706465535
834,3.728547016
835,3.748303281
836,3.736925961
837,3.70801135
838,3.687316195
839,3.669847822
840,3.639490669
841,3.597563971
842,3.561678634
843,3.537510525
844,3.508313478
845,3.464962499
846,3.422295968
847,3.403008747
848,3.422340459
849,3.47357181
850,3.519427324
851,3.546972191
852,3.541984684
853,3.512719765
854,3.478152368
855,3.442665963
856,3.406082715
857,3.36907565
858,3.337109005
859,3.320031523
860,3.323129065
861,3.341989885
862,3.37102489
863,3.412936944
864,3.476964185
865,3.570276265
866,3.698010465
867,3.854917751
868,4.012061711
869,4.148656218
870,4.264152641
871,4.365320154
872,4.452161415
873,4.518203363
874,4.55962459
875,4.57798801
876,4.565551642
877,4.541436482
878,4.513423528
879,4.478073928
880,4.440682323
881,4.40956496
882,4.387388504
883,4.371417016
884,4.357046823
885,4.340423164
886,4.325128757
887,4.319202149
888,4.318808407
889,4.316701388
890,4.302974441
891,4.284697368
892,4.261141004
893,4.23342086
894,4.198630908
895,4.155400993
896,4.110873617
897,4.070911844
898,4.029391761
899,3.983559255
900,3.94587893
901,3.924142876
902,3.912893658
903,3.907748656
904,3.905790554
905,3.913209225
906,3.922565371
907,3.92135867
908,3.908461181
909,3.893596122
910,3.883297457
911,3.881909038
912,3.88677186
913,3.903008099
914,3.93040571
915,3.981453662
916,4.059544712
917,4.156483868
918,4.252607256
919,4.331613553
920,4.374734867
921,4.382815375
922,4.346341141
923,4.28416488
924,4.220997578
925,4.159584405
926,4.11075708
927,4.075404932
928,4.031155067
929,3.986065227
930,3.94269891
931,3.893083129
932,3.842681089
933,3.806015784
934,3.773897292
935,3.739472363
936,3.694548771
937,3.644946334
938,3.615309544
939,3.598894545
940,3.581482942
941,3.555604975
942,3.516750779
943,3.468565988
944,3.421175296
945,3.381057888
946,3.348792796
947,3.322145714
948,3.294886932
949,3.26557826
950,3.246998325
951,3.239317672
952,3.224814561
953,3.205017152
954,3.192154257
955,3.194096576
956,3.195407751
957,3.19384523
958,3.203022094
959,3.259872352
960,3.395738019
961,3.59416128
962,3.792424019
963,3.957650478
964,4.08629973
965,4.174951354
966,4.230362731
967,4.257445973
968,4.254710991
969,4.222835249
970,4.172794716
971,4.11789015
972,4.050305203
973,3.976641432
974,3.902957404
975,3.836417059
976,3.789790698
977,3.755666904
978,3.72519244
979,3.696051406
980,3.666122527
981,3.637344364
982,3.618331023
983,3.615959602
984,3.644019195
985,3.709782303
986,3.802777676
987,3.880349116
988,3.927675866
989,3.96268291
990,3.997586261
991,4.014074097
992,4.001687223
993,3.967935974
994,3.926327212
995,3.884852187
996,3.84347184
997,3.810410753
998,3.780775094
999,3.753768937
1000,3.72116303
1001,3.68333037
1002,3.656926457
1003,3.649384163
1004,3.659554675
1005,3.680684303
1006,3.7198016
1007,3.811787068
1008,3.946894391
1009,4.05731056
1010,4.106499113
1011,4.109729186
1012,4.081998364
1013,4.039402555
1014,4.004662452
1015,3.971691537
1016,3.936215502
1017,3.89856046
1018,3.865912132
1019,3.820654152
1020,3.768051725
1021,3.726283786
1022,3.696983031
1023,3.684386941
1024,3.701429357
1025,3.699359628
1026,3.664689755
1027,3.615442645
1028,3.560346448
1029,3.510879854
1030,3.486689024
1031,3.501805882
1032,3.538235243
1033,3.568976781
1034,3.595765761
1035,3.627710324
1036,3.675112426
1037,3.743872949
1038,3.841241622
1039,3.959642857
1040,4.069694471
1041,4.142157583
1042,4.18478111
1043,4.21858433
1044,4.236806035
1045,4.233878157
1046,4.223086675
1047,4.219476598
1048,4.217414801
1049,4.204794209
1050,4.184678802
1051,4.16471985
1052,4.139789518
1053,4.10529757
1054,4.071985544
1055,4.046143075
1056,4.025727726
1057,4.008669465
1058,3.986786266
1059,3.946387935
1060,3.88743868
1061,3.820052502
1062,3.754409534
1063,3.697745024
1064,3.645775703
1065,3.590192543
1066,3.527469427
1067,3.458973711
1068,3.388927382
1069,3.326615696
1070,3.280463038
1071,3.249039266
1072,3.226960483
1073,3.204693713
1074,3.17654334
1075,3.150730213
1076,3.138907121
1077,3.14717823
1078,3.167061058
1079,3.198600906
1080,3.248564095
1081,3.306943267
1082,3.361213949
1083,3.406755344
1084,3.447119039
1085,3.486921614
1086,3.518905228
1087,3.531828981
1088,3.542997784
1089,3.557142007
1090,3.566715891
1091,3.581023697
1092,3.596852314
1093,3.615595664
1094,3.641534775
1095,3.678026778
1096,3.714698195
1097,3.736842756
1098,3.755808176
1099,3.780796504
1100,3.802681252
1101,3.831359917
1102,3.857856967
1103,3.887837409
1104,3.918493839
1105,3.940028482
1106,3.951396307
1107,3.950958019
1108,3.943976148
1109,3.934401428
1110,3.920149525
1111,3.894782017
1112,3.844657979
1113,3.77728309
1114,3.722267405
1115,3.684595237
1116,3.660881087
1117,3.64209605
1118,3.629442071
1119,3.632225421
1120,3.65047499
1121,3.680708691
1122,3.722201473
1123,3.764441713
1124,3.803280683
1125,3.838788702
1126,3.880134493
1127,3.928014928
1128,3.981991129
1129,4.037304188
1130,4.086343684
1131,4.125883161
1132,4.161571321
1133,4.200469602
1134,4.235850334
1135,4.254901153
1136,4.246946108
1137,4.214461369
1138,4.187482703
1139,4.149698165
1140,4.093308591
1141,4.031051675
1142,3.966063214
1143,3.900821339
1144,3.842513559
1145,3.803416698
1146,3.794209177
1147,3.806223901
1148,3.810790758
1149,3.791483999
1150,3.76070333
1151,3.730898708
1152,3.70722432
1153,3.702667915
1154,3.694678098
1155,3.657605415
1156,3.610517812
1157,3.572479625
1158,3.546194851
1159,3.520780159
1160,3.492598782
1161,3.468630877
1162,3.453939206
1163,3.442005524
1164,3.430954238
1165,3.417365785
1166,3.408277751
1167,3.406485478
1168,3.400462785
1169,3.397051281
1170,3.395362032
1171,3.386620755
1172,3.386951674
1173,3.405325635
1174,3.431470359
1175,3.451498358
1176,3.469351241
1177,3.484390156
1178,3.485972257
1179,3.477675765
1180,3.476510119
1181,3.489404014
1182,3.499842227
1183,3.506960956
1184,3.520341722
1185,3.530854108
1186,3.533570807
1187,3.53677945
1188,3.539536858
1189,3.544272604
1190,3.548682582
1191,3.551964336
1192,3.559982289
1193,3.591119788
1194,3.656609956
1195,3.764746097
1196,3.891869169
1197,4.003802733
1198,4.0915122
1199,4.151728102
1200,4.203199849
1201,4.255330997
1202,4.306676641
1203,4.340748542
1204,4.35520682
1205,4.350591244
1206,4.330321196
1207,4.305483935
1208,4.28529839
1209,4.270924533
1210,4.261928176
1211,4.258790173
1212,4.233136612
1213,4.184243205
1214,4.12656226
1215,4.070121848
1216,4.013975673
1217,3.959535882
1218,3.912426777
1219,3.881707502
1220,3.873269877
1221,3.884524041
1222,3.904918507
1223,3.916384722
1224,3.91532087
1225,3.904448335
1226,3.887196072
1227,3.861416338
1228,3.816596656
1229,3.742997986
1230,3.651851764
1231,3.571165562
1232,3.505793175
1233,3.448503232
1234,3.389358726
1235,3.327734548
1236,3.274073228
1237,3.23758057
1238,3.219743448
1239,3.211319735
1240,3.207710212
1241,3.20352746
1242,3.195552321
1243,3.187255993
1244,3.176427489
1245,3.168326989
1246,3.176809682
1247,3.221158673
1248,3.30704891
1249,3.435479256
1250,3.59755459
1251,3.781602501
1252,3.954415095
1253,4.087738272
1254,4.17323262
1255,4.23148321
1256,4.271217154
1257,4.286527318
1258,4.261747567
1259,4.219538838
1260,4.169401713
1261,4.108169199
1262,4.051201382
1263,4.013046773
1264,3.994330495
1265,3.977523993
1266,3.951936624
1267,3.915757881
1268,3.878443132
1269,3.831747054
1270,3.7755067
1271,3.721552326
1272,3.673959179
1273,3.63403558
1274,3.592918546
1275,3.55302462
1276,3.52928114
1277,3.519171404
1278,3.510891441
1279,3.501064033
1280,3.494024028
1281,3.49549081
1282,3.509124148
1283,3.53694337
1284,3.584014541
1285,3.651405713
1286,3.72907989
1287,3.802262632
1288,3.871998057
1289,3.945269911
1290,4.023491383
1291,4.092121677
1292,4.12317211
1293,4.112824729
1294,4.079630215
1295,4.049155717
1296,4.03349318
1297,4.014820186
1298,3.991533708
1299,3.961692587
1300,3.92915432
1301,3.897876891
1302,3.867796382
1303,3.835364251
1304,3.801593672
1305,3.780264806
1306,3.765847569
1307,3.743538791
1308,3.705982661
1309,3.661283729
1310,3.615915949
1311,3.570746815
1312,3.538038046
1313,3.516116827
1314,3.494421089
1315,3.470053484
1316,3.446468829
1317,3.429447616
1318,3.423468905
1319,3.435051896
1320,3.469770619
1321,3.510496328
1322,3.555063924
1323,3.604557189
1324,3.65144989
1325,3.690800105
1326,3.734773217
1327,3.786697575
1328,3.840162757
1329,3.884006628
1330,3.909931246
1331,3.929109286
1332,3.945588662
1333,3.959984552
1334,3.969780732
1335,3.974030013
1336,3.978447939
1337,3.986309293
1338,4.001124983
1339,4.014995473
1340,4.027908288
1341,4.03451332
1342,4.032445499
1343,4.019727197
1344,3.992498483
1345,3.947918137
1346,3.890839359
1347,3.818542064
1348,3.745750281
1349,3.679766796
1350,3.613535407
1351,3.541607448
1352,3.465794142
1353,3.394269788
1354,3.335135963
1355,3.284033404
1356,3.250387088
1357,3.230243884
1358,3.218384806
1359,3.212449785
1360,3.211094692
1361,3.213751903
1362,3.224875853
1363,3.245690997
1364,3.277881346
1365,3.325818945
1366,3.386561707
1367,3.454986934
1368,3.53229158
1369,3.614648756
1370,3.681976041
1371,3.721375731
1372,3.749881932
1373,3.778923176
1374,3.812594171
1375,3.847839325
1376,3.895674712
1377,3.933453404
1378,3.963813928
1379,3.98249721
