Age (ka),d18O (permil),d18O sigma (permil)
0,3.15837,0.111277
1,3.158242,0.109882267
2,3.15434,0.109105329
3,3.149144,0.108535061
4,3.144692,0.108060982
5,3.14258,0.107873259
6,3.146604,0.108691587
7,3.15874,0.11017251
8,3.195703069,0.110328754
9,3.262001851,0.123010423
10,3.36360642,0.174328309
11,3.512320272,0.216953871
12,3.684855997,0.206407377
13,3.855308616,0.177740989
14,4.013001554,0.179975748
15,4.212128652,0.198169959
16,4.457650171,0.183035564
17,4.657993441,0.155520513
18,4.770323615,0.110044158
19,4.79338,0.08812057
20,4.781357837,0.089056241
21,4.763458985,0.090774392
22,4.729404516,0.102775731
23,4.686223833,0.114708652
24,4.645016176,0.125942925
25,4.625995729,0.124595666
26,4.620491551,0.113515144
27,4.606208523,0.111306033
28,4.588232872,0.116288703
29,4.558122768,0.11885495
30,4.516872321,0.115538055
31,4.483206437,0.109403804
32,4.461233894,0.103442394
33,4.437419695,0.097381798
34,4.406362619,0.089866651
35,4.375582787,0.088438323
36,4.336025952,0.105515991
37,4.290569077,0.127283801
38,4.2602,0.139380576
39,4.27097,0.13763474
40,4.31824,0.121417921
41,4.36644,0.097768242
42,4.37837,0.092067769
43,4.36518,0.097281337
44,4.33704,0.100136858
45,4.29703,0.10735169
46,4.24187,0.128330952
47,4.22608,0.139615211
48,4.259676113,0.125970155
49,4.300630695,0.107059502
50,4.316205244,0.098120368
51,4.299855795,0.096229887
52,4.256928645,0.099150085
53,4.20439,0.108747403
54,4.17332022,0.117758563
55,4.186118519,0.116226656
56,4.220244835,0.109371283
57,4.216235864,0.113455718
58,4.166706054,0.127888871
59,4.14026,0.144046374
60,4.199685,0.132090642
61,4.275385,0.132279398
62,4.3430225,0.132187272
63,4.39401,0.113739396
64,4.4168075,0.096923902
65,4.431355,0.092321233
66,4.43643,0.092017704
67,4.40607,0.09351603
68,4.363283969,0.099377478
69,4.314731092,0.107667156
70,4.260604717,0.118178426
71,4.201541248,0.129977375
72,4.138988752,0.139501417
73,4.092778116,0.138505314
74,4.054954079,0.134661
75,4.017561633,0.13070179
76,3.97063,0.128507398
77,3.948875314,0.121160132
78,3.93522088,0.115077269
79,3.9138388,0.109969533
80,3.874988136,0.105560907
81,3.819061864,0.101592018
82,3.753292247,0.101699986
83,3.694192286,0.104985142
84,3.650947991,0.111471102
85,3.63176,0.121275989
86,3.754058571,0.141697098
87,3.929718571,0.162629403
88,4.021312857,0.14893452
89,3.965087446,0.139033716
90,3.873216896,0.141449555
91,3.845253113,0.133134044
92,3.817424132,0.124776853
93,3.793419504,0.119349283
94,3.770044003,0.116137352
95,3.743334041,0.114364882
96,3.71381061,0.113711059
97,3.686669776,0.113782399
98,3.668645627,0.113982711
99,3.658610641,0.114187334
100,3.65850592,0.115212875
101,3.668765657,0.116875582
102,3.685639889,0.118764347
103,3.705837242,0.120542036
104,3.726778652,0.122267339
105,3.746350205,0.124466356
106,3.762203447,0.127526782
107,3.770465137,0.131416703
108,3.778282969,0.137180687
109,3.78948599,0.144017931
110,3.834501058,0.149712475
111,3.9110043,0.150990028
112,3.935530606,0.144699681
113,3.888604902,0.134900427
114,3.822868549,0.131950307
115,3.73887436,0.138055022
116,3.636163797,0.1498893
117,3.531161664,0.16191606
118,3.442110529,0.169092935
119,3.362651809,0.169183527
120,3.270774676,0.155774679
121,3.181052372,0.136795221
122,3.112704816,0.123474688
123,3.067384334,0.120604813
124,3.039205563,0.126147162
125,3.02426744,0.135594371
126,3.03152,0.150814949
127,3.132024928,0.205281031
128,3.307778966,0.275731619
129,3.520260858,0.324284298
130,3.756468823,0.352379529
131,3.950085,0.369713907
132,4.050061903,0.355974016
133,4.193153564,0.348593554
134,4.393934642,0.258395562
135,4.558148526,0.197682454
136,4.67872,0.148642104
137,4.744726,0.102297379
138,4.755098,0.098203318
139,4.705522,0.105080915
140,4.64088,0.109445163
141,4.59475,0.109346742
142,4.549834,0.11296162
143,4.507178,0.122896998
144,4.487538,0.128536133
145,4.487460738,0.127857023
146,4.487183691,0.128043842
147,4.486906644,0.128230662
148,4.486629597,0.128417481
149,4.48635255,0.128604301
150,4.486075502,0.128791121
151,4.486759232,0.128330065
152,4.492683287,0.127334956
153,4.505248438,0.1267391
154,4.521512416,0.126517759
155,4.539845061,0.125217734
156,4.56039161,0.12152444
157,4.589006099,0.116028347
158,4.607601536,0.112261172
159,4.59233,0.112732664
160,4.565719513,0.11678021
161,4.532026707,0.120508485
162,4.49636735,0.121196736
163,4.462237315,0.118481448
164,4.434927978,0.114375271
165,4.415841375,0.111910768
166,4.396235674,0.112174887
167,4.375225365,0.113803034
168,4.360036632,0.11470855
169,4.351658876,0.114437167
170,4.335724556,0.115123912
171,4.29492265,0.119129951
172,4.241485646,0.125181401
173,4.204998541,0.129967151
174,4.192540618,0.131949914
175,4.204460094,0.129155027
176,4.253032657,0.120837102
177,4.292219822,0.110707017
178,4.309963218,0.103537679
179,4.319567191,0.103123949
180,4.320202022,0.110285546
181,4.305823255,0.12211837
182,4.289380169,0.132766295
183,4.294446782,0.136425662
184,4.330043315,0.131508878
185,4.364705239,0.123516775
186,4.355693895,0.12088754
187,4.311846854,0.125903218
188,4.248000486,0.135014196
189,4.168167079,0.14431988
190,4.071387063,0.15215267
191,3.96245348,0.157037121
192,3.867663773,0.157868329
193,3.803023258,0.155933879
194,3.771321553,0.153763297
195,3.739333801,0.150754344
196,3.676276941,0.146293074
197,3.591971161,0.141934678
198,3.510698775,0.139953555
199,3.452236067,0.143292814
200,3.431149195,0.153126648
201,3.444794542,0.166607491
202,3.497535458,0.18084134
203,3.558616038,0.188749818
204,3.602151949,0.190020559
205,3.624666493,0.185007362
206,3.629029866,0.174712639
207,3.616938311,0.160760059
208,3.596752044,0.148054184
209,3.569830055,0.137785647
210,3.534988619,0.13003602
211,3.48974,0.12408859
212,3.446188303,0.118833232
213,3.414469084,0.115214164
214,3.392606204,0.114890686
215,3.381349778,0.119467816
216,3.390387333,0.131809681
217,3.438751778,0.150153363
218,3.527117556,0.17127919
219,3.642324,0.193481006
220,3.778762222,0.214419922
221,3.923482222,0.229556728
222,4.053156,0.234208408
223,4.147786889,0.226887825
224,4.206615333,0.210974345
225,4.248464667,0.192878731
226,4.273326889,0.179016339
227,4.265796222,0.171612857
228,4.230454,0.168862053
229,4.182574,0.168866412
230,4.138982444,0.17069765
231,4.105246,0.174032711
232,4.075292,0.178364457
233,4.040001333,0.182545544
234,3.995787333,0.18503317
235,3.932818444,0.183958258
236,3.845858889,0.176538241
237,3.738621333,0.162594856
238,3.624071111,0.146539074
239,3.519922222,0.136429904
240,3.43644,0.139764148
241,3.378442222,0.160120769
242,3.352657423,0.19602449
243,3.385421047,0.238682929
244,3.497482893,0.265705501
245,3.661865153,0.273333639
246,3.840886755,0.26275489
247,4.011560824,0.235766699
248,4.148272967,0.201805509
249,4.240416258,0.17421674
250,4.312508078,0.156988263
251,4.38189604,0.144749032
252,4.437125962,0.133548846
253,4.465838754,0.123885127
254,4.473624604,0.11681813
255,4.455685856,0.112142219
256,4.41306,0.108304561
257,4.375282135,0.104472388
258,4.357991943,0.102465392
259,4.342420665,0.104368662
260,4.319718985,0.109519585
261,4.308938395,0.115849816
262,4.316399007,0.124116825
263,4.326888795,0.134389454
264,4.342115417,0.142552847
265,4.364655227,0.144044347
266,4.375761068,0.140381782
267,4.375704604,0.135679086
268,4.391602386,0.132352643
269,4.429075349,0.1298722
270,4.457604488,0.125511692
271,4.446248627,0.118016782
272,4.402912262,0.110589413
273,4.361904361,0.110205579
274,4.319376977,0.118607019
275,4.270686779,0.134489507
276,4.245047075,0.153576841
277,4.22665019,0.168030502
278,4.186179229,0.17250159
279,4.155587888,0.172459249
280,4.143329968,0.171416527
281,4.090613939,0.161089546
282,4.043889124,0.152431229
283,4.01340945,0.145840635
284,4.005003717,0.142872411
285,4.012655385,0.144601881
286,4.043045128,0.1479719
287,4.104813333,0.148147274
288,4.170606154,0.14395491
289,4.215596923,0.138580185
290,4.238873333,0.135420214
291,4.239747692,0.135644845
292,4.223734359,0.138328776
293,4.192958974,0.141702751
294,4.146649231,0.14503411
295,4.088857949,0.148021194
296,4.032807949,0.14909101
297,3.996880769,0.148642686
298,3.963402821,0.147161493
299,3.920680256,0.145581707
300,3.88622,0.144061979
301,3.862995641,0.142218721
302,3.826541282,0.14022731
303,3.768921538,0.139400661
304,3.704450769,0.140682981
305,3.652571282,0.14333757
306,3.621283077,0.14552088
307,3.603562821,0.147313562
308,3.588588462,0.149448726
309,3.57508,0.151428271
310,3.563331282,0.15289853
311,3.553001538,0.153356261
312,3.543869231,0.153026972
313,3.536363333,0.151913757
314,3.529981282,0.150778247
315,3.523714615,0.150147046
316,3.516110513,0.150483196
317,3.506164103,0.150541571
318,3.493398462,0.139316223
319,3.471432308,0.121378811
320,3.435422051,0.115010697
321,3.389363077,0.113852427
322,3.338801538,0.112703973
323,3.28610641,0.11141104
324,3.234711538,0.109932132
325,3.189320513,0.108683014
326,3.15422,0.108192357
327,3.12893,0.11006707
328,3.108643846,0.114563518
329,3.091938205,0.122872166
330,3.08281,0.135185373
331,3.079604615,0.150041444
332,3.087762674,0.176061671
333,3.11932524,0.210862568
334,3.203971731,0.249698437
335,3.33545187,0.281508301
336,3.507382689,0.29176589
337,3.680031111,0.291902508
338,3.839136352,0.288507401
339,3.988256028,0.285861345
340,4.15230456,0.275216346
341,4.442326662,0.224071544
342,4.656535781,0.146296066
343,4.66042469,0.118076275
344,4.601040755,0.110360056
345,4.540860277,0.109201585
346,4.494888739,0.113941251
347,4.439334302,0.125107189
348,4.375370401,0.13693423
349,4.336661328,0.142773458
350,4.337142581,0.140654609
351,4.35454978,0.133535126
352,4.368026953,0.125572416
353,4.374684379,0.117717718
354,4.37205362,0.109544239
355,4.361912264,0.102477315
356,4.338559054,0.098474063
357,4.304955301,0.097455425
358,4.282105253,0.097962338
359,4.256925468,0.099418941
360,4.22756192,0.101300822
361,4.193550458,0.103289246
362,4.157191719,0.105200014
363,4.125172342,0.107199927
364,4.105062579,0.110047702
365,4.099942999,0.113590107
366,4.107096099,0.11700224
367,4.1076683,0.118939395
368,4.101254928,0.119365137
369,4.092121291,0.118774789
370,4.081917249,0.117880818
371,4.070292607,0.1173635
372,4.055261864,0.117724764
373,4.034718682,0.119342584
374,4.008940267,0.122274698
375,3.979970889,0.12592994
376,3.95014298,0.12942358
377,3.92444766,0.132340473
378,3.909081902,0.134302702
379,3.905798367,0.134592416
380,3.900516991,0.1328285
381,3.883533117,0.129385012
382,3.857561203,0.12522663
383,3.83205022,0.121557582
384,3.809927584,0.119488327
385,3.783019952,0.119765228
386,3.754854928,0.122225623
387,3.751613668,0.125536189
388,3.767539818,0.128974789
389,3.767960946,0.13216725
390,3.741439456,0.134610353
391,3.690956424,0.135983263
392,3.626731251,0.136322621
393,3.562783973,0.13612759
394,3.507284207,0.136289355
395,3.459343706,0.137247063
396,3.4117949,0.138276536
397,3.360193002,0.137805528
398,3.307887135,0.134521952
399,3.254100697,0.128668791
400,3.193775822,0.122006386
401,3.134870802,0.116158803
402,3.09034893,0.11191213
403,3.065748203,0.108822136
404,3.055145673,0.105798352
405,3.05016,0.102584378
406,3.061347487,0.10052797
407,3.092375773,0.100637327
408,3.112589815,0.101202047
409,3.12382862,0.101454454
410,3.140719846,0.101866166
411,3.168548373,0.103201621
412,3.211503691,0.105369334
413,3.267715067,0.107918717
414,3.327849578,0.110550754
415,3.385705314,0.113190002
416,3.438488857,0.116760506
417,3.49054701,0.122416366
418,3.541547745,0.131265917
419,3.586063574,0.143590298
420,3.623405572,0.15898936
421,3.660496097,0.176825958
422,3.70629734,0.196763976
423,3.766441977,0.218218298
424,3.84316345,0.239884576
425,3.934519083,0.259351478
426,4.034687765,0.27366264
427,4.144124557,0.280863498
428,4.268636159,0.280246036
429,4.404715922,0.271525932
430,4.540510772,0.254969734
431,4.664849485,0.232089195
432,4.768635732,0.205685423
433,4.843164964,0.179135124
434,4.88499311,0.155237102
435,4.901586807,0.135922191
436,4.892162348,0.12201915
437,4.876050845,0.114319043
438,4.863864202,0.111404268
439,4.838939846,0.11160183
440,4.811199248,0.112996123
441,4.78323344,0.114323508
442,4.753963598,0.114660163
443,4.72433896,0.113791925
444,4.695715685,0.112218952
445,4.664871308,0.110447962
446,4.624235448,0.109133145
447,4.581902474,0.108592385
448,4.538155067,0.108442251
449,4.496635994,0.108682213
450,4.468144562,0.110005834
451,4.453832472,0.113546166
452,4.441800526,0.1196639
453,4.428008538,0.127702868
454,4.417753337,0.135731398
455,4.417451988,0.142096695
456,4.422981977,0.145713708
457,4.419570299,0.146503732
458,4.405375736,0.144897665
459,4.388267477,0.141679301
460,4.373198012,0.137612947
461,4.363066189,0.134031955
462,4.356717784,0.131696851
463,4.349374727,0.130846367
464,4.335685664,0.132002944
465,4.314713532,0.134735346
466,4.289768733,0.138907387
467,4.262185299,0.145126653
468,4.230973326,0.154468465
469,4.19341069,0.166739799
470,4.149091164,0.180929638
471,4.101259567,0.195149262
472,4.056290917,0.206812708
473,4.024134418,0.214675191
474,4.002972297,0.219037832
475,3.998962389,0.219391602
476,4.007473979,0.215297991
477,4.01203932,0.20712128
478,3.994427065,0.195704145
479,3.944844418,0.182330676
480,3.879446684,0.168108059
481,3.820560804,0.153829018
482,3.781367755,0.14032532
483,3.756851256,0.129194179
484,3.727001565,0.121369375
485,3.686404408,0.117017016
486,3.644673619,0.115197334
487,3.604460525,0.114388285
488,3.569834964,0.113989632
489,3.538566447,0.113802235
490,3.510005994,0.113546734
491,3.503310711,0.113405697
492,3.52545378,0.113542648
493,3.560469186,0.113529298
494,3.591037549,0.112718322
495,3.607963625,0.110874305
496,3.613383351,0.108585
497,3.617248744,0.106821699
498,3.620649176,0.106238012
499,3.627191195,0.106955148
500,3.639594737,0.108542758
501,3.653700402,0.110487084
502,3.674418888,0.112191699
503,3.711964099,0.112832585
504,3.746045942,0.112508172
505,3.781914428,0.11276899
506,3.819820845,0.115035836
507,3.861979444,0.119059785
508,3.914245304,0.12388136
509,3.962000484,0.127526264
510,4.00430691,0.128404585
511,4.017955134,0.125645719
512,4.004194089,0.120828149
513,3.992197188,0.115343
514,3.981609856,0.110314469
515,3.964474943,0.107841958
516,3.944239732,0.107800021
517,3.917762214,0.109652122
518,3.881819979,0.112293319
519,3.838754768,0.114955975
520,3.804088908,0.11730194
521,3.782177959,0.119911454
522,3.75683552,0.122836204
523,3.737799681,0.126390709
524,3.741829897,0.13042644
525,3.76400792,0.133906596
526,3.799505052,0.135790273
527,3.838713151,0.135627438
528,3.85929758,0.135169931
529,3.868920237,0.136769051
530,3.883341771,0.14130399
531,3.906152577,0.148489029
532,3.943949949,0.157493651
533,4.018577394,0.166282139
534,4.130105221,0.172610134
535,4.242425932,0.174494038
536,4.314830722,0.171722791
537,4.35699447,0.164727244
538,4.38221,0.15599305
539,4.389919648,0.149010694
540,4.391571461,0.143204515
541,4.386024982,0.138998073
542,4.377886718,0.135909787
543,4.370557683,0.133276748
544,4.36482495,0.130322048
545,4.361869702,0.126436572
546,4.363085969,0.121555441
547,4.364192599,0.116211237
548,4.354236249,0.111168073
549,4.334533814,0.107098298
550,4.311229432,0.105046148
551,4.282711704,0.105313222
552,4.247349378,0.107535952
553,4.204573859,0.111071409
554,4.159752022,0.115280052
555,4.121164355,0.119996451
556,4.090273273,0.1252158
557,4.057027556,0.130450887
558,4.014519071,0.135911865
559,3.962057394,0.141274112
560,3.910115162,0.146125965
561,3.869654626,0.15009092
562,3.834629919,0.15335631
563,3.802098161,0.155937216
564,3.777712344,0.157635346
565,3.76449009,0.158324788
566,3.756812527,0.158102195
567,3.746564779,0.157172912
568,3.727574283,0.15574264
569,3.687159495,0.154183366
570,3.616057935,0.152949725
571,3.528663454,0.151852087
572,3.443600694,0.151632778
573,3.372926913,0.152717134
574,3.326645735,0.155680509
575,3.307584238,0.161097551
576,3.31376102,0.169334915
577,3.3489383,0.180419159
578,3.421079093,0.193104121
579,3.538671917,0.205419743
580,3.694802323,0.214775288
581,3.856283059,0.218125505
582,3.976792975,0.213818446
583,4.043594844,0.204980364
584,4.077874731,0.194228967
585,4.088506522,0.183519124
586,4.074361586,0.174282435
587,4.040651822,0.166979317
588,3.994715977,0.161630093
589,3.944675637,0.158025831
590,3.896374268,0.155783938
591,3.855727921,0.154785756
592,3.82844678,0.154903316
593,3.813204221,0.15566419
594,3.806365694,0.156598189
595,3.813329585,0.157381683
596,3.833233894,0.157793163
597,3.850776006,0.157226976
598,3.857901643,0.156290335
599,3.855377054,0.155213196
600,3.838219358,0.153945246
601,3.80099492,0.153151658
602,3.75058102,0.152632493
603,3.700234329,0.152337316
604,3.657903598,0.152441575
605,3.62023644,0.153035222
606,3.578568215,0.154303722
607,3.52758187,0.155944878
608,3.470983711,0.157877092
609,3.419115066,0.160620558
610,3.383055071,0.164967523
611,3.370299915,0.171363148
612,3.38163136,0.179781764
613,3.410133711,0.190040399
614,3.449212836,0.201383135
615,3.505384391,0.213532199
616,3.583053607,0.225169335
617,3.66260779,0.234827165
618,3.735572852,0.24257526
619,3.806534816,0.247729639
620,3.881845637,0.250416292
621,3.966193922,0.250912603
622,4.063454108,0.249571814
623,4.178888669,0.246542686
624,4.307911681,0.241672345
625,4.440271813,0.234230921
626,4.5642339,0.224188462
627,4.674088809,0.212319273
628,4.768071501,0.199418197
629,4.838956091,0.186359422
630,4.87565864,0.174278471
631,4.874454381,0.163871836
632,4.845513327,0.155082399
633,4.81086543,0.14776135
634,4.777669254,0.141959043
635,4.759408045,0.137128648
636,NaN,NaN
637,NaN,NaN
638,NaN,NaN
639,NaN,NaN
640,NaN,NaN
641,NaN,NaN
642,NaN,NaN
643,NaN,NaN
644,NaN,NaN
645,NaN,NaN
646,NaN,NaN
647,NaN,NaN
648,NaN,NaN
649,NaN,NaN
650,NaN,NaN
651,4.668101979,0.120344624
652,4.647681079,0.119978409
653,4.627428691,0.120483763
654,4.601471195,0.121777492
655,4.565602346,0.123560101
656,4.529251634,0.125649751
657,4.504879361,0.128703864
658,4.492659812,0.132768523
659,4.4889726,0.137533532
660,4.492210377,0.142032901
661,4.495348963,0.145589012
662,4.494453571,0.147543641
663,4.485563853,0.147672876
664,4.464593407,0.146509157
665,4.430851571,0.143894294
666,4.401141414,0.140605546
667,4.38655377,0.137310947
668,4.38355377,0.134468489
669,4.381453428,0.132685254
670,4.374382963,0.131964047
671,4.360348869,0.132156227
672,4.343035822,0.132883362
673,4.330839801,0.133880003
674,4.324626792,0.135127396
675,4.319081969,0.136421643
676,4.311395602,0.138069605
677,4.303129613,0.140064623
678,4.292732586,0.14209511
679,4.276135398,0.144412024
680,4.253435152,0.146929397
681,4.226619801,0.149223221
682,4.196008,0.151374111
683,4.161937296,0.153646257
684,4.127036649,0.156008202
685,4.092523686,0.158083814
686,4.057457037,0.160152141
687,3.987233895,0.16706834
688,3.831771677,0.185531799
689,3.756703298,0.192809347
690,3.752382565,0.190102836
691,3.74642733,0.187020966
692,3.736439476,0.183678539
693,3.720250063,0.179934148
694,3.695150178,0.175938097
695,3.661352482,0.171876012
696,3.622806073,0.167802302
697,3.586035351,0.163594584
698,3.556464203,0.159117963
699,3.534963382,0.154804126
700,3.521459131,0.151158274
701,3.515361005,0.147952644
702,3.517517864,0.145067161
703,3.529226251,0.14250893
704,3.550903068,0.140403362
705,3.579585099,0.13903926
706,3.603558356,0.13814937
707,3.613000556,0.137564991
708,3.608353948,0.137349798
709,3.60488844,0.137394935
710,3.612136052,0.137758166
711,3.627423424,0.138173981
712,3.648706887,0.138691033
713,3.66927267,0.139612206
714,3.686881466,0.140818224
715,3.704712461,0.141891613
716,3.726605864,0.143042226
717,3.752310996,0.144445517
718,3.780926283,0.146021144
719,3.811959539,0.147592921
720,3.845594806,0.148888698
721,3.886005613,0.149902072
722,3.938823973,0.150685752
723,4.00190445,0.150958974
724,4.061658356,0.150751542
725,4.104639257,0.150718416
726,4.129925597,0.151313768
727,4.144205979,0.152388702
728,4.225810419,0.150745487
729,4.389238136,0.144279196
730,4.331038094,0.143786563
731,4.270678585,0.14425199
732,4.207532974,0.145693899
733,4.14220288,0.147732963
734,4.081759738,0.150205121
735,4.027747319,0.152741699
736,3.978806457,0.15474371
737,3.944768377,0.156290274
738,3.93056,0.157007242
739,3.931671414,0.156572932
740,3.937006073,0.155458174
741,3.952940178,0.154247839
742,3.98320799,0.153128405
743,4.015282,0.15262255
744,4.048043874,0.153268674
745,4.073736,0.154844215
746,4.079469853,0.157951598
747,4.082467654,0.161705762
748,4.105872492,0.165219629
749,4.165701099,0.167659315
750,4.260530534,0.167396601
751,4.358747673,0.16400057
752,4.416766073,0.158284956
753,4.421369016,0.151597697
754,4.39195201,0.144749289
755,4.355898555,0.138371477
756,4.328759036,0.133269939
757,4.308192869,0.130359574
758,4.294986869,0.129503513
759,4.275407351,0.130922851
760,4.232932921,0.134568885
761,4.174901405,0.139091074
762,4.114326126,0.144402832
763,4.061669319,0.150189005
764,4.01498356,0.155355096
765,3.968213508,0.159873482
766,3.925587592,0.162933019
767,3.899203089,0.164379052
768,3.886082,0.164844873
769,3.878146963,0.164071494
770,3.872809371,0.16250897
771,3.877754649,0.160147075
772,3.875823026,0.157055917
773,3.838818649,0.153607458
774,3.772683696,0.149746761
775,3.701455157,0.145615902
776,3.642130314,0.141606107
777,3.593251634,0.138629734
778,3.548161958,0.136033828
779,3.502991927,0.13385648
780,3.460917317,0.13258782
781,3.437092209,0.132401729
782,3.42663533,0.133323758
783,3.412728293,0.135486147
784,3.396214262,0.138434122
785,3.381930943,0.142539484
786,3.376973298,0.148062567
787,3.38535,0.154661286
788,3.403529791,0.162107552
789,3.444713774,0.169980764
790,3.517088178,0.177208819
791,3.614800283,0.182874378
792,3.729189602,0.186566611
793,3.844810817,0.187897141
794,3.953764717,0.187045487
795,4.067847309,0.1843573
796,4.201204513,0.179779509
797,4.337992702,0.172771096
798,4.436676429,0.163798253
799,4.482933585,0.154233344
800,4.497283414,0.144879387
801,4.493296052,0.136099868
802,4.472608492,0.12834181
803,4.43786244,0.121618393
804,4.401268616,0.116059691
805,4.374357686,0.112016588
806,4.355937686,0.109557284
807,4.335972283,0.108590691
808,4.304144702,0.108567611
809,4.266991675,0.110026691
810,4.228023351,0.112985856
811,4.179649215,0.115550278
812,4.142420419,0.118682404
813,4.109104067,0.122081379
814,4.064181162,0.12547439
815,4.009851592,0.128375789
816,3.959118314,0.131089121
817,3.913970524,0.133883995
818,3.864576352,0.136679601
819,3.807082408,0.139362034
820,3.751675812,0.14163969
821,3.709499414,0.143894003
822,3.676085696,0.146829798
823,3.646609308,0.150258342
824,3.624287518,0.153937423
825,3.622705864,0.158225631
826,3.653239476,0.162402557
827,3.705212188,0.165985972
828,3.777141635,0.168163621
829,3.847972859,0.167478253
830,3.876128576,0.165179315
831,3.86473666,0.162123869
832,3.837479822,0.159161251
833,3.810100608,0.15674626
834,3.787110157,0.155137351
835,3.765506387,0.153940825
836,3.74158178,0.152771406
837,3.720125236,0.151522522
838,3.707068459,0.15029173
839,3.707526723,0.148841273
840,3.723461613,0.146578537
841,3.744285016,0.143067227
842,3.74120045,0.139246096
843,3.715013585,0.135581393
844,3.692172555,0.132006387
845,3.67432133,0.128915211
846,3.647992429,0.126699538
847,3.609340597,0.125437379
848,3.570255409,0.124990671
849,3.544472283,0.125565875
850,3.520909812,0.127791095
851,3.47945112,0.131543494
852,3.434629025,0.136390115
853,3.408975288,0.141599634
854,3.41687288,0.147111396
855,3.454754859,0.151768757
856,3.501010209,0.154750704
857,3.53488522,0.156243811
858,3.544772251,0.156686926
859,3.526017801,0.156347468
860,3.492505026,0.155993982
861,3.457697068,0.156528867
862,3.421949119,0.158832686
863,3.385487215,0.163196805
864,3.350195738,0.169746537
865,3.325587623,0.178880868
866,3.323928147,0.19019789
867,3.343405021,0.202693309
868,3.378307288,0.215119731
869,3.433554471,0.226440898
870,3.519210524,0.235100985
871,3.644312262,0.239175617
872,3.811850932,0.237521808
873,3.993060398,0.230336701
874,4.151370471,0.219284377
875,4.281960461,0.20611558
876,4.393393323,0.19168662
877,4.482611969,0.177104098
878,4.541928136,0.163922046
879,4.568798115,0.152514736
880,4.564110283,0.14284295
881,4.539109654,0.135118266
882,4.505238953,0.12924297
883,4.464869948,0.12490357
884,4.425341204,0.12205691
885,4.395428534,0.12053118
886,4.3749163,0.119774141
887,4.357514545,0.119845198
888,4.339073644,0.120610991
889,4.324685487,0.121950205
890,4.319403602,0.123881065
891,4.319052348,0.125762638
892,4.311129539,0.127348066
893,4.294666209,0.129367928
894,4.271818272,0.130169629
895,4.244235021,0.130544815
896,4.209988702,0.130630859
897,4.16599756,0.130763893
898,4.117400366,0.130672642
899,4.073923843,0.130542575
900,4.029853208,0.130515107
901,3.982669497,0.130459884
902,3.944224848,0.130290284
903,3.922407026,0.130147857
904,3.911818545,0.130382353
905,3.907202379,0.131076966
906,3.909259529,0.132355988
907,3.917644869,0.13446157
908,3.921552356,0.136998532
909,3.913150471,0.13993418
910,3.898244319,0.142942557
911,3.885782031,0.146574376
912,3.881962597,0.150060473
913,3.885887267,0.152603756
914,3.902265948,0.154612483
915,3.932396017,0.155998567
916,3.98921799,0.157248545
917,4.075170272,0.156944886
